Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth(deg),Elevation(deg),Rate of AZ(rads/s),Rate of EL(rads/s),Mean Anom @time,Mean Anom Motion @time,Eccentric Anomaly,Topocentric Range,Topocentric Reletive Velocity,Time,Time Since Epoch(s),Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost,Minimum Power Required(dBm),Signal Loss(dB),DopplerShift(Hertz),Minimul Received Power (dBm)
"[15116.12546841722, -21794.639643561266, 0]","[3.183234776982768, 2.217201861959615, 0]","[72.12144259592606, -18820.224603347626, -18689.502688586716]","[3.0279764524117394, 1.7199921304661934, -1.709372228873539]","[18819.40693153204, 189.6796466076997, -18689.502688586716]",[[-1.72504102  1.64484058 -1.70937223]],130.2736241691089,-35.86831623477873,2.89397649343432e-05,-0.00010563483491783975,304.7438094174581,2.005619990809089,304.85824605001767,[ 18452.33082323 -15634.11652976 -17486.64483524],"[-1.3478702795435313, 0.22465910324638472, -2.595379448909643]",2021-01-12 10:30:00,286964.487073,"GPS BIIF-6  (PRN 06)    
",0,0,0,-15.948617209960105,-185.88699849023456,-2993.4272515244875,-91.2422595727411
"[9559.248325263241, 24761.057742823614, 0]","[-3.6140311657368422, 1.4021905334716172, 0]","[25354.415533069376, -7418.742318875804, 2570.0358888670926]","[0.9326285675863261, 2.0773233655608863, -3.137242602810833]","[7260.222470059096, 25400.26169752346, 2570.0358888670926]",[[-0.23089196  0.39021064 -3.1372426 ]],33.59905551985693,-43.27114176033708,4.099498784047132e-05,-0.00010999156162592217,68.89052434458335,2.005735290458603,68.79445371097556,[ 12352.82227305  18593.15712339 -21014.52054242],"[-0.1452647055261485, -1.8723363408274267, -2.5536486411938317]",2021-01-12 10:30:00,106855.032385,"GPS BIIF-7  (PRN 09)    
",0,0,0,-15.598287338428236,-186.12055173792248,-2923.5821747877103,-91.12548294889716
"[-21645.183018319345, -15506.970401929655, 0]","[2.256127446384416, -3.1372747392683102, 0]","[15232.312902833977, 1731.3449918887836, -21770.603278092265]","[-0.9787591666669224, 3.718842781228777, -0.3805820623048235]","[-1826.4591109898415, 15221.200969918997, -21770.603278092265]",[[-2.60270885 -0.86878213 -0.38058206]],161.8222678623332,-82.45755078552389,0.0006297285176276,-3.218028832634456e-06,215.61882694356927,2.005630863078348,215.72114601604846,[  1358.65396126  -4137.78872683 -32892.23658524],"[-2.726067685357245, -0.48895257826476946, -0.05655815929429875]",2021-01-12 10:30:00,160680.422305,"GPS BIIF-8  (PRN 03)    
",0,0,0,-14.56854640309686,-186.80704569481006,-28.464520710469717,-90.78223597045336
"[-23977.836223289254, 11729.06685275305, 0]","[-1.7022430862894389, -3.4584878714198974, 0]","[-3571.5494766008815, 25902.496994464567, 5367.71114863483]","[-2.3734558005500084, 0.3086029580162435, -3.021628974364304]","[-25879.682146927273, -3733.2784768977335, 5367.71114863483]",[[-0.56600625 -0.48816077 -3.02162897]],280.7885009593545,-8.454390951763264,-9.188889968638496e-05,-7.04530952380462e-05,153.93280621253462,2.005556105153377,153.79426454074917,[-26092.52414623   4971.98816236  -3948.10548791],"[-0.6546727690248632, -2.3599216782622974, -1.9212180813508566]",2021-01-12 10:30:00,321361.739713,"GPS BIIF-9  (PRN 26)    
",0,0,0,-17.32438047265734,-184.96982298176974,-2530.9435968970806,-91.70084732697352
"[16846.98029474951, 20401.08271194496, 0]","[-2.9870864959020884, 2.490259139146307, 0]","[20322.87721569548, 6545.587097523824, 15625.647893632862]","[-2.379839819513512, 2.1019516481295453, 2.245492822630637]","[-6672.405254909193, 20281.594042130047, 15625.647893632862]",[[-0.60808776 -1.90636361  2.24549282]],354.8913282389691,-21.14477714204084,-3.647887203122393e-05,0.00010509438981739744,50.45206376402973,2.005515421858272,50.1823589312189,[ -2336.87313174  26139.46764331 -10150.17863142],"[-0.9889381178355177, 0.31072387480607855, 2.823416906278264]",2021-01-12 10:30:00,91649.126592,"GPS BIIF-10 (PRN 08)    
",0,0,0,-16.71567196041741,-185.37562865659635,3403.579863931114,-91.4979444895602
"[-25486.653413362576, 8039.846113632973, 0]","[-1.1654574969630922, -3.6693988531977233, 0]","[-11721.613691613387, 23403.730390837216, 5392.383888536656]","[-1.712822361864418, -1.5579497765988837, 3.076005717057257]","[-23330.055315524787, -11867.575266960372, 5392.383888536656]",[[ 7.03221110e-01 -1.80263555e-03  3.07600572e+00]],267.4850450277837,4.449471531460638,7.906557062425057e-05,9.351236907058976e-05,162.4909228818383,2.0056372622840586,162.37970006833737,[-25279.01012048  -1110.3162341    1968.96795688],"[0.6876673266286049, 2.0327592538311627, 2.3132958769852947]",2021-01-12 10:30:00,87900.644448,"GPS BIIF-11 (PRN 10)    
",0,0,0,-18.059882327291064,-184.47948841201392,3123.5046718662284,-91.94601461185142
"[1827.6455940865692, 26487.98270665565, 0]","[-3.864818712477052, 0.2843691537647867, 0]","[-13302.881104312642, 15186.75397214617, -17243.821339821894]","[-3.2994177602719845, -0.6872460792556747, 1.912910025504385]","[-15103.3618945751, -13397.48488961539, -17243.821339821894]",[[-0.26911779 -2.1937059   1.91291003]],222.50413846331847,-24.944775771033243,1.5845918545539758e-05,0.00010692359499733098,86.05302404240956,2.00569064873672,85.79177837010741,[-17546.09392764 -19145.42497449 -12079.29724253],"[-0.7166693585149698, -0.17293025932348316, 2.8285110722901114]",2021-01-12 10:30:00,122983.56576,"GPS BIIF-12 (PRN 32)    
",0,0,0,-16.484799601889648,-185.52954356228153,3354.0459740778215,-91.42098703671762
"[26321.376477423946, 3328.611972899618, 0]","[-0.48603528328719603, 3.84758159881406, 0]","[24921.882034527756, 2104.1373463356176, -8852.509204584634]","[-1.2215259462784185, 2.2636011621793353, -2.9024297747372976]","[-2259.7696114548617, 24908.252436056344, -8852.509204584634]",[[-0.43958818 -1.07085657 -2.90242977]],14.066702184312154,-68.23250120735243,2.1298878603847335e-06,-7.303015680196814e-05,7.207401920476968,2.005721294500424,7.199595533143553,[  2936.66831526  11720.19007005 -30258.17930312],"[-0.6514064184590858, -2.705631640804062, -1.4210197986188684]",2021-01-12 10:30:00,74940.05088,"GPS BIII-1  (PRN 04)    
",0,0,0,-14.805494245555394,-186.64908046650436,-1511.8898826895042,-90.86121858460619
"[3125.565586380083, -26372.242703350475, 0]","[3.8469946693779318, 0.4605467277370166, 0]","[-14685.92356268538, 5526.859342709054, 21425.261266926434]","[-2.1133529756186324, -3.1851182694920612, -0.6326389842898323]","[-5435.016615620575, -14720.160307247212, 21425.261266926434]",[[ 2.12484595 -1.69708835 -0.63263898]],302.7223665550629,61.10590868246166,-7.099455200086371e-05,0.00010044880626298754,276.75899502836546,2.00561066422055,276.8267353903054,[-8359.82050168  5371.51897423 18004.85407174],"[1.728246393334151, -1.9490008445645028, 1.0049235700594807]",2021-01-12 10:30:00,55253.448001,"GPS BIII-2  (PRN 18)    
",1,1,0,-20.80077608599288,-182.65222590621272,1743.5750768549672,-92.85964586475204
"[-3759.9567891723345, -26296.00126481386, 0]","[3.8349552490077725, -0.544757925754153, 0]","[-15523.358790554052, 15864.821759666851, 14592.796852189267]","[-0.8044575948041451, -2.9640817298791466, 2.36023525020766]","[-15767.54634839762, -15622.154773186809, 14592.796852189267]",[[1.82986329 0.36386083 2.36023525]],274.6641318195866,33.1446023644294,9.463034951189938e-05,0.00011195117718613227,261.8626797271397,2.0056761925285596,261.91518321073033,[-18655.70034891   1522.0206271   12222.6784154 ],"[1.865557074480439, 1.6249450369151437, 1.7119448665109707]",2021-01-12 10:30:00,91174.550401,"GPS BIII-3  (PRN 23)    
",1,1,0,-19.713331735521876,-183.3771888065267,2681.0531817474675,-92.49716441459502
