Sat No.,Sat Name,AOS Time,LOS Time,Min Expected Level
5,"GPS BIIR-9  (PRN 21)    
",2020-10-27 18:55:00,2020-10-27 18:55:00,-1.6504934021082127
3,"GPS BIIR-5  (PRN 28)    
",2020-10-27 19:00:00,2020-10-27 19:04:00,-1.6449624635433489
5,"GPS BIIR-9  (PRN 21)    
",2020-10-27 19:01:00,2020-10-27 19:09:00,-1.6476476571316638
4,"GPS BIIR-8  (PRN 16)    
",2020-10-27 19:02:00,2020-10-27 19:02:00,-1.6435930102424547
3,"GPS BIIR-5  (PRN 28)    
",2020-10-27 19:04:00,2020-10-27 19:04:00,-1.6429649333029874
15,"GPS BIIRM-8 (PRN 05)    
",2020-10-27 19:05:00,2020-10-27 19:06:00,-1.6441102764131665
15,"GPS BIIRM-8 (PRN 05)    
",2020-10-27 19:10:00,2020-10-27 19:11:00,-1.6535048547468505
5,"GPS BIIR-9  (PRN 21)    
",2020-10-27 19:12:00,2020-10-27 19:27:00,-1.6497464307247733
5,"GPS BIIR-9  (PRN 21)    
",2020-10-27 19:14:00,2020-10-27 19:27:00,-1.6447586924935842
13,"GPS BIIRM-5 (PRN 29)    
",2020-10-27 19:17:00,2020-10-27 19:17:00,-1.6452706170423217
15,"GPS BIIRM-8 (PRN 05)    
",2020-10-27 19:18:00,2020-10-27 19:21:00,-1.641304831454319
27,"GPS BIIF-12 (PRN 32)    
",2020-10-27 19:22:00,2020-10-27 19:26:00,-1.6264468559683312
5,"GPS BIIR-9  (PRN 21)    
",2020-10-27 19:27:00,2020-10-27 19:27:00,-1.6450131028361847
3,"GPS BIIR-5  (PRN 28)    
",2020-10-27 19:28:00,2020-10-27 19:32:00,-1.6428165426685197
25,"GPS BIIF-10 (PRN 08)    
",2020-10-27 19:29:00,2020-10-27 19:29:00,-1.6446104666214678
22,"GPS BIIF-7  (PRN 09)    
",2020-10-27 19:32:00,2020-10-27 19:35:00,-1.6158952929094061
5,"GPS BIIR-9  (PRN 21)    
",2020-10-27 19:33:00,2020-10-27 19:33:00,-1.6452021976334268
22,"GPS BIIF-7  (PRN 09)    
",2020-10-27 19:35:00,2020-10-27 19:35:00,-1.6197493207153255
25,"GPS BIIF-10 (PRN 08)    
",2020-10-27 19:37:00,2020-10-27 19:37:00,-1.6463773858327495
27,"GPS BIIF-12 (PRN 32)    
",2020-10-27 19:39:00,2020-10-27 19:51:00,-1.6174379647937818
19,"GPS BIIF-4  (PRN 27)    
",2020-10-27 19:44:00,2020-10-27 19:44:00,-1.6442841514002589
22,"GPS BIIF-7  (PRN 09)    
",2020-10-27 19:55:00,2020-10-27 19:57:00,-1.6177738835114686
25,"GPS BIIF-10 (PRN 08)    
",2020-10-27 19:58:00,2020-10-27 19:58:00,-1.6454569178603706
17,"GPS BIIF-2  (PRN 01)    
",2020-10-27 17:41:00,2020-10-27 17:42:00,-1.6409003511601894
