Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Topocentric Range,Topocentric Reletive Velocity,Time,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[14946.544405533466, 21865.91585152124, 0]","[-3.1982466483097722, 2.2050357396728715, 0]","[19737.66578561162, -13047.06282278815, 11904.459951048071]","[0.33810641880713654, 2.859338647302549, 2.6078402532100817]","[-16652.428537635176, -16807.674519850687, 11904.459951048071]",[[-5290.55132678  7926.62325955 -6737.73284431]],0.5993500071391809,-0.11525630283095399,245694263.8114729,0.02490187076294524,[-17797.18644553 -26050.39361482  -3652.45134978],"[-5089.4343058962595, 6355.639258614258, 1062.4171688707258]",2020-10-09 16:00:00,"GPS BIIF-5  (PRN 30)    
",0,0,0
"[-26151.84758349331, -4926.07520110247, 0]","[0.7171099608413417, -3.7993103001938864, 0]","[-14914.529424748625, -4210.378839088758, 21633.651355858598]","[1.9013770212264407, -3.2998607389371784, 0.6668507928092132]","[-1214.8033178916144, 15449.748568477693, 21633.651355858598]",[[ 14944.48396654 -22388.28205394  19035.1881054 ]],1.5224562128364691,1.4676801592270847,50832113.08307481,-0.1651677238791535,[ 2725.73883304   131.86525459 26370.72023466],"[14377.052181161342, -17953.399953019267, -2997.3746382991235]",2020-10-09 16:00:00,"GPS BIIF-6  (PRN 06)    
",1,0,0
"[6253.712367393974, 25803.562602062146, 0]","[-3.76495250494748, 0.9183988147188253, 0]","[-24563.790262489973, 3516.662569301646, 9443.836807501073]","[-1.4165092769286884, -2.2239562731762206, -2.8400429065002433]","[8248.81389286738, 23403.071957475215, 9443.836807501073]",[[ 16495.73093526 -24705.91758613  21004.83059559]],0.4978450698573556,0.780038304654353,560150185.1968017,0.04764668410076598,[11430.15603969 21030.34738624 23680.61058631],"[15869.372660114968, -19808.282981148946, -3308.2721946411925]",2020-10-09 16:00:00,"GPS BIIF-7  (PRN 09)    
",1,0,0
"[25512.579593716495, 7103.435531697383, 0]","[-1.0390788900790813, 3.7437606140403923, 0]","[-16112.59133871602, -17772.86127857057, 11218.748424085501]","[0.9419270103263131, -2.588349693568795, -2.740191206114664]","[-14281.720406195021, 19274.9230845431, 11218.748424085501]",[[ 26571.21595134 -39798.97030954  33835.83965825]],-1.5079216751910947,1.1046609427428753,-333619376.23120177,0.23292751186240518,[-11010.30595811    693.18282715  21927.6620503 ],"[25562.107906835165, -31909.975235456608, -5330.028101026071]",2020-10-09 16:00:00,"GPS BIIF-8  (PRN 03)    
",0,0,0
"[-6306.034677053496, -25832.111221259667, 0]","[3.7634597808293875, -0.8997332885543644, 0]","[9747.48530659831, -14661.306393178318, 19927.28452496048]","[2.093244850584401, 3.0320992673568954, 1.1823068725372876]","[-16283.398382675061, -6694.648016744171, 19927.28452496048]",[[ 3796.07767395 -5684.01355494  4831.74571214]],0.5506578999328986,0.3085217588128259,-158657975.9761526,-0.043965394683134734,[-15105.19575333 -24600.86402184   9200.22833185],"[3651.856092708377, -4555.992648883174, -761.6567732473467]",2020-10-09 16:00:00,"GPS BIIF-9  (PRN 26)    
",1,0,0
"[16644.749720202144, 20580.358013981313, 0]","[-3.0121244034377614, 2.4573366154714624, 0]","[12526.365408701251, 14380.091644175674, -18354.88935364679]","[-3.3903940256727836, 0.7568028891732377, -1.7446702843641768]","[11655.130889916365, -15094.859720650462, -18354.88935364679]",[[-21068.41063077  31558.46015409 -26831.51362618]],0.3527850306052619,-0.9098355701978571,-504114177.6003177,0.4171653273275697,[  6273.66379177  17039.30202438 -23349.39363207],"[-20268.457933092013, 25304.79901044978, 4225.391632127565]",2020-10-09 16:00:00,"GPS BIIF-10 (PRN 08)    
",0,0,0
"[-708.3023773616806, -26554.136726766246, 0]","[3.8726280084594524, -0.08011333035008195, 0]","[6495.115199444625, -17670.750117882664, -18739.848942263798]","[2.344710427567337, 2.620111099486268, -1.6251205108576607]","[-18599.28956054704, -2916.909156218742, -18739.848942263798]",[[  8839.99061615 -13238.89232305  11252.30628479]],-1.401876586712978,-0.5864434003471121,-201468927.81851512,-0.2412401377705295,[-21991.16655974   3750.48211532 -14822.26700477],"[8503.903531793023, -10611.654697397484, -1775.0680043581679]",2020-10-09 16:00:00,"GPS BIIF-11 (PRN 10)    
",0,0,0
"[-5882.482937358938, 25926.88833743928, 0]","[-3.7778859169756815, -0.8406133321243533, 0]","[11240.402885069037, 14854.075933167733, 18968.840647846224]","[-3.47904716338556, 0.6752631898661132, 1.555410953792962]","[12371.264307509497, -13926.307776317557, 18968.840647846224]",[[-20553.27776581  30786.97866669 -26172.17663858]],-0.9755450498033726,0.22429173454851753,-135904572.9170342,0.7162108663896689,[12033.14552216 -8148.70175995  3315.33536402],"[-19772.433798561553, 24683.840020292348, 4124.456980439339]",2020-10-09 16:00:00,"GPS BIIF-12 (PRN 32)    
",0,0,0
"[4850.876468102494, -26108.728885940494, 0]","[3.8087809636547525, 0.711159926360819, 0]","[-8120.8705633661475, -14985.991946826023, -20363.404263802575]","[3.6804376989322334, -0.47353100143454324, -1.1147679601240625]","[-13110.216784296388, 10892.69063207225, -20363.404263802575]",[[ 18211.79258147 -27280.24471701  23190.82756435]],-0.6898822256741751,-0.2471724893047127,-9639300.576034784,-0.42193596756003576,[-15067.53486483  18260.62135979  -5973.83361718],"[17519.862312218764, -21872.38161329649, -3654.8451704232557]",2020-10-09 16:00:00,"GPS BIII-1  (PRN 04)    
",0,0,0
"[-25875.71298612799, 6100.22968709099, 0]","[-0.888909700342385, -3.766896272307526, 0]","[14765.386372870904, -22083.192837020604, 1039.8481420567437]","[1.9026591117747125, 1.1214987919141315, -3.178332384412135]","[-24542.741654296868, -10165.523730120427, 1039.8481420567437]",[[ 5744.09814893 -8603.6634881   7310.28356866]],0.9296228296995762,-0.19288435475698232,-288123377.03161347,-0.03646810050843125,[-26147.42425188 -19515.63834583  -6372.54261003],"[5525.38831561462, -6895.206778573221, -1155.1973785489392]",2020-10-09 16:00:00,"GPS BIII-2  (PRN 18)    
",0,0,0
